City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Egvekinot,RU,2022-07-13 15:30:19,66.3167,-179.1667,46.47,91,99,4.07,overcast clouds
164,Meulaboh,ID,2022-07-13 15:30:19,4.1363,96.1285,79.16,88,100,8.84,overcast clouds
165,Geraldton,AU,2022-07-13 15:30:20,-28.7667,114.6,59.41,94,75,9.22,broken clouds
166,Hualmay,PE,2022-07-13 15:30:20,-11.0964,-77.6139,65.91,67,25,10.4,scattered clouds
167,Ahipara,NZ,2022-07-13 15:30:20,-35.1667,173.1667,55.17,91,100,3.91,overcast clouds
168,Warren,US,2022-07-13 15:30:20,39.4334,-84.1666,83.39,56,0,6.91,clear sky
169,Afrikanda,RU,2022-07-13 15:30:21,67.4429,32.7828,70.72,67,61,10.16,broken clouds
170,Kurilsk,RU,2022-07-13 15:30:21,45.2333,147.8833,52.93,92,43,6.2,scattered clouds
171,Bilibino,RU,2022-07-13 15:30:22,68.0546,166.4372,50.67,77,28,4.36,scattered clouds
172,College,US,2022-07-13 15:30:22,64.8569,-147.8028,57.15,91,100,5.75,light rain
173,Guanica,PR,2022-07-13 15:30:22,17.9716,-66.908,89.06,71,100,6.82,overcast clouds
174,Antalaha,MG,2022-07-13 15:30:23,-14.9003,50.2788,70.63,80,64,10.16,broken clouds
175,Luderitz,NA,2022-07-13 15:30:23,-26.6481,15.1594,62.51,56,0,23.04,clear sky
176,Fortuna,US,2022-07-13 15:30:15,40.5982,-124.1573,57.34,90,100,1.01,overcast clouds
177,Tucuman,AR,2022-07-13 15:30:15,-26.8241,-65.2226,57.2,41,0,4.61,clear sky
178,Wajima,JP,2022-07-13 15:30:23,37.4,136.9,75.42,90,100,7.31,overcast clouds
179,Beloha,MG,2022-07-13 15:30:24,-25.1667,45.05,65.21,79,0,5.23,clear sky
180,Takoradi,GH,2022-07-13 15:30:24,4.8845,-1.7554,76.3,81,100,8.01,overcast clouds
181,Manta,EC,2022-07-13 15:30:24,-0.95,-80.7333,74.98,78,100,11.5,overcast clouds
182,Waddan,LY,2022-07-13 15:30:24,29.1614,16.139,92.08,20,0,14.36,clear sky
183,Pascagoula,US,2022-07-13 15:29:27,30.3658,-88.5561,82.56,87,0,0.0,clear sky
184,Pevek,RU,2022-07-13 15:30:25,69.7008,170.3133,33.73,96,82,6.42,broken clouds
185,Avera,US,2022-07-13 15:30:25,33.194,-82.5271,80.11,88,100,10.6,light rain
186,Kemijarvi,FI,2022-07-13 15:30:25,66.7131,27.4306,65.43,86,96,6.04,overcast clouds
187,Sao Joao Da Barra,BR,2022-07-13 15:29:35,-21.6403,-41.0511,80.69,61,69,13.73,broken clouds
188,Ugoofaaru,MV,2022-07-13 15:30:26,5.6667,73.0,82.78,76,28,14.79,scattered clouds
189,Aykhal,RU,2022-07-13 15:30:26,66.0,111.5,49.8,73,100,8.97,overcast clouds
190,Kelo,TD,2022-07-13 15:30:27,9.3086,15.8066,74.8,84,100,4.38,overcast clouds
191,Gafargaon,BD,2022-07-13 15:30:27,24.4333,90.5667,83.8,76,0,8.68,moderate rain
192,Abu Samrah,SY,2022-07-13 15:30:27,35.3029,37.1841,91.11,26,0,17.74,clear sky
193,Arraial Do Cabo,BR,2022-07-13 15:29:41,-22.9661,-42.0278,76.96,78,20,18.41,few clouds
194,Walla Walla,US,2022-07-13 15:29:00,46.0646,-118.343,78.67,47,0,11.5,clear sky
195,Chuy,UY,2022-07-13 15:30:28,-33.6971,-53.4616,51.8,61,1,8.72,clear sky
196,Vao,NC,2022-07-13 15:30:28,-22.6667,167.4833,71.31,91,100,22.91,overcast clouds
197,Palmer,US,2022-07-13 15:29:48,42.1584,-72.3287,82.65,60,0,1.01,clear sky
198,Ithaca,US,2022-07-13 15:30:05,42.4406,-76.4966,79.03,66,75,1.99,broken clouds
199,Tete,MZ,2022-07-13 15:30:29,-16.1564,33.5867,78.89,47,75,8.05,broken clouds
200,Arcelia,MX,2022-07-13 15:30:29,18.2833,-100.2667,78.85,80,100,2.77,overcast clouds
201,Upernavik,GL,2022-07-13 15:30:29,72.7868,-56.1549,41.72,85,38,9.53,scattered clouds
202,Lloydminster,CA,2022-07-13 15:25:30,53.2835,-110.0016,70.02,64,20,11.5,few clouds
203,Galle,LK,2022-07-13 15:30:30,6.0367,80.217,79.61,85,45,12.86,scattered clouds
204,Kodinsk,RU,2022-07-13 15:30:30,58.6881,99.1844,52.54,92,100,3.62,overcast clouds
205,Guerrero Negro,MX,2022-07-13 15:30:23,27.9769,-114.0611,69.76,71,84,12.5,broken clouds
206,Dingle,PH,2022-07-13 15:30:30,10.9995,122.6711,76.77,92,64,0.81,broken clouds
207,Poum,NC,2022-07-13 15:30:31,-20.2333,164.0167,75.78,72,100,20.85,overcast clouds
208,Palana,RU,2022-07-13 15:30:31,59.1167,159.9667,53.56,80,78,10.13,broken clouds
209,Aloleng,PH,2022-07-13 15:30:31,16.1307,119.7824,80.65,83,94,8.03,overcast clouds
210,Ancud,CL,2022-07-13 15:30:32,-41.8697,-73.8203,41.23,81,99,9.37,light rain
211,Kars,TR,2022-07-13 15:30:32,40.602,43.095,75.65,46,0,23.02,clear sky
212,Flinders,AU,2022-07-13 15:30:32,-34.5833,150.8552,53.19,66,87,14.0,overcast clouds
213,Saldanha,ZA,2022-07-13 15:30:32,-33.0117,17.9442,57.25,86,52,10.83,broken clouds
214,Byumba,RW,2022-07-13 15:30:33,-1.5763,30.0675,66.4,59,94,3.76,overcast clouds
215,Zyryanka,RU,2022-07-13 15:30:33,65.75,150.85,63.55,82,100,15.86,overcast clouds
216,Wakkanai,JP,2022-07-13 15:30:33,45.4094,141.6739,60.82,88,100,18.19,overcast clouds
217,Esperance,AU,2022-07-13 15:29:40,-33.8667,121.9,55.18,54,9,16.69,clear sky
218,Nouakchott,MR,2022-07-13 15:30:34,18.0858,-15.9785,80.53,71,10,12.12,clear sky
219,Winnemucca,US,2022-07-13 15:28:57,40.973,-117.7357,80.65,24,0,5.75,clear sky
220,Alekseyevsk,RU,2022-07-13 15:30:34,57.8406,108.3492,51.08,97,97,4.76,overcast clouds
221,Salinopolis,BR,2022-07-13 15:30:34,-0.6136,-47.3561,83.61,72,85,10.98,overcast clouds
222,Bathsheba,BB,2022-07-13 15:30:35,13.2167,-59.5167,88.41,78,40,21.85,scattered clouds
223,Kruisfontein,ZA,2022-07-13 15:30:35,-34.0033,24.7314,55.89,79,3,6.73,clear sky
224,Waipawa,NZ,2022-07-13 15:30:35,-41.4122,175.5153,51.17,74,0,17.29,clear sky
225,Bambous Virieux,MU,2022-07-13 15:30:36,-20.3428,57.7575,71.22,73,75,11.5,light rain
226,Greece,US,2022-07-13 15:30:36,43.2098,-77.6931,76.68,74,75,3.44,broken clouds
227,Constitucion,CL,2022-07-13 15:25:48,-35.3333,-72.4167,53.73,87,100,12.62,overcast clouds
228,Perpignan,FR,2022-07-13 15:30:36,42.75,2.75,92.82,55,0,9.22,clear sky
229,Hay River,CA,2022-07-13 15:30:37,60.8156,-115.7999,64.38,55,75,5.75,broken clouds
230,Coquimbo,CL,2022-07-13 15:30:37,-29.9533,-71.3436,53.33,87,100,3.44,overcast clouds
231,Abdanan,IR,2022-07-13 15:30:37,32.9926,47.4198,98.35,12,2,3.87,clear sky
232,Iranshahr,IR,2022-07-13 15:30:38,27.2025,60.6848,104.34,8,0,9.22,haze
233,Shingu,JP,2022-07-13 15:30:34,33.7333,135.9833,77.02,87,100,2.35,overcast clouds
234,Payakumbuh,ID,2022-07-13 15:30:38,-0.2202,100.6308,72.16,97,95,1.57,overcast clouds
235,Voyvozh,RU,2022-07-13 15:30:39,62.892,54.9635,76.21,57,58,3.8,broken clouds
236,Belmonte,BR,2022-07-13 15:30:39,-15.8631,-38.8828,78.87,57,6,6.4,clear sky
237,Sarai,RU,2022-07-13 15:30:39,53.7458,41.0213,73.09,55,15,4.76,few clouds
238,Butzow,DE,2022-07-13 15:29:59,53.85,11.9833,84.65,46,80,17.25,broken clouds
239,Hazorasp,UZ,2022-07-13 15:30:40,41.3194,61.0742,91.24,14,0,9.91,clear sky
240,Provideniya,RU,2022-07-13 15:30:40,64.3833,-173.3,51.15,82,99,5.53,overcast clouds
241,Padang,ID,2022-07-13 15:30:40,-0.9492,100.3543,79.16,85,99,2.8,overcast clouds
242,Brae,GB,2022-07-13 15:30:41,60.3964,-1.353,54.27,79,98,20.94,overcast clouds
243,Tieli,CN,2022-07-13 15:30:41,46.95,128.05,67.78,86,100,6.51,overcast clouds
244,Bandarbeyla,SO,2022-07-13 15:30:42,9.4942,50.8122,78.8,72,90,26.91,overcast clouds
245,Preobrazheniye,RU,2022-07-13 15:30:43,42.9019,133.9064,65.25,97,100,10.74,overcast clouds
246,San Cristobal,VE,2022-07-13 15:30:43,7.7669,-72.225,78.98,50,65,8.52,broken clouds
247,Vila Franca Do Campo,PT,2022-07-13 15:30:43,37.7167,-25.4333,75.2,79,55,11.54,broken clouds
248,Cidreira,BR,2022-07-13 15:30:43,-30.1811,-50.2056,56.53,67,0,12.1,clear sky
249,Vestmannaeyjar,IS,2022-07-13 15:30:44,63.4427,-20.2734,52.79,71,75,14.97,broken clouds
250,Parakai,NZ,2022-07-13 15:30:44,-36.65,174.4333,56.14,97,100,5.37,overcast clouds
251,Ilo,PE,2022-07-13 15:30:45,-17.6394,-71.3375,63.46,72,75,8.05,broken clouds
