City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Plouzane,FR,84.25,clear sky,48.3833,-4.6167,Lymina
364,Paita,PE,68.31,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
365,Namibe,AO,65.03,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
366,Merauke,ID,74.75,scattered clouds,-8.4667,140.3333,
369,La Peca,PE,77.77,light rain,-5.6111,-78.435,Hospedaje San Miguelito
371,Dunboyne,IE,68.67,broken clouds,53.4,-6.4667,Dunboyne Castle Hotel
372,Nkhata Bay,MW,70.0,few clouds,-11.6066,34.2907,Mayoka Village
373,Sim,RU,71.8,light rain,54.993,57.6982,Otel' Perekrestok
374,Ottobrunn,DE,84.58,broken clouds,48.0624,11.6686,Mercure Hotel Muenchen Neuperlach Sued
375,Indramayu,ID,79.3,moderate rain,-6.3264,108.32,Grand Trisula Hotel
376,Hildburghausen,DE,85.75,broken clouds,50.4255,10.7318,Pension Thüringer Hof
377,Astana,KZ,73.35,clear sky,51.1801,71.446,King Hotel Astana
379,Mweka,CD,87.78,scattered clouds,-4.85,21.5667,Guest House Boshab
380,Taurianova,IT,84.38,clear sky,38.3563,16.0109,B&B Magnolia House
381,Kulhudhuffushi,MV,82.11,overcast clouds,6.6221,73.07,Haajy Guest House 1
382,Yuli,NG,83.77,light rain,9.6989,10.2744,
383,San Policarpo,PH,79.27,overcast clouds,12.1791,125.5072,Agapita M. Nicart
384,Chake Chake,TZ,74.55,light rain,-5.2459,39.7666,Hotel Archipelago
385,Monrovia,LR,78.76,light rain,6.3005,-10.7969,Sunset Inn
386,Pimentel,PE,68.29,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
388,Maraa,BR,85.89,scattered clouds,-1.8333,-65.3667,
389,Lincoln,US,84.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
390,Odweyne,SO,82.18,broken clouds,9.4092,45.064,Eng Hiirey House
392,Bull Savanna,JM,87.46,broken clouds,17.8868,-77.5902,Big Red's
397,Mogadishu,SO,77.27,light rain,2.0371,45.3438,Hotel Juba
399,Aleksandrov Gay,RU,85.5,overcast clouds,50.147,48.5704,Gostinitsa
400,Tulagi,SB,81.07,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
401,La Ronge,CA,75.45,clear sky,55.1001,-105.2842,Northland Motor Hotel
403,Pasighat,IN,79.38,overcast clouds,28.0667,95.3333,Siang Guest House
405,Roma,US,78.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
406,Nowogard,PL,81.45,clear sky,53.6744,15.1163,Pokoje Gościnne
407,Mayumba,GA,73.58,overcast clouds,-3.432,10.6554,LIKWALE LODGE
410,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
411,Yadgir,IN,71.82,light rain,16.7667,77.1333,"SLV Hotel,Yadgir"
412,Shache,CN,74.43,overcast clouds,38.4167,77.2406,Delong Hotel
414,Cabatuan,PH,75.2,broken clouds,10.8794,122.486,MVC Transient Room
416,Tanete,ID,73.92,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
418,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
420,Rassvet,RU,86.77,scattered clouds,46.8333,40.75,
421,Hastings,GB,84.97,broken clouds,50.8552,0.5729,Zanzibar Hotel
424,Klenovyy,UA,79.99,broken clouds,48.1193,39.4588,Никитын ДОМ
425,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
426,Sao Paulo De Olivenca,BR,87.28,heavy intensity rain,-3.3783,-68.8725,
429,Beni,CD,73.92,overcast clouds,0.5,29.4667,Albertine hotel
430,Mwandiga,TZ,74.61,broken clouds,-4.83,29.6581,Kigoma Highland Motel
433,Linxi,CN,77.74,broken clouds,39.7,118.4333,Peace Hotel
434,Sabang,ID,82.94,overcast clouds,5.8933,95.3214,Hotel Citra
435,Touros,BR,83.17,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
436,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
437,Chenzhou,CN,80.15,broken clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
441,Port-Gentil,GA,73.92,broken clouds,-0.7193,8.7815,Fengshui Residence
442,Coromandel,BR,79.79,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
443,Leninskoye,KZ,82.22,clear sky,41.7589,69.3864,Қалдыбайдың үйі 🏘️
447,Ninghai,CN,78.82,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
448,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
449,Kalemie,CD,73.8,broken clouds,-5.9475,29.1947,Mahobilali
450,Tabou,CI,77.52,overcast clouds,4.423,-7.3528,hotêl doufoulougou
452,Tual,ID,78.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
453,Mapiripan,CO,75.02,overcast clouds,2.8892,-72.1256,Monserrate
454,Tautira,PF,76.35,broken clouds,-17.7333,-149.15,Pension Oaoa
455,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
456,Menongue,AO,73.89,clear sky,-14.6585,17.691,Ritz Lauca
457,Syracuse,IT,85.59,scattered clouds,37.0881,15.2792,Hotel Posta
458,Savannah Bight,HN,81.64,broken clouds,16.45,-85.85,Villa on Dunbar Rock
459,Port Blair,IN,84.24,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
460,Solomenskoye,RU,84.49,scattered clouds,44.2167,44.3528,
464,Manado,ID,79.57,few clouds,1.487,124.8455,Aryaduta Hotel
466,Rabat,MA,80.67,few clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
470,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
472,Gornopravdinsk,RU,66.13,broken clouds,60.05,69.9,Hostel
